Variable||Units||Description||Members
NEE_CUT_XX_DAY||µmolCO2 m-2 s-1||XXth daytime percentile from the up to 40 daily NEE_CUT_DAY percentiles (approx. percentile indicated by XX, see doc.) -- XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
NEE_CUT_XX_DAY_QC||adimensional||Quality flag for NEE_CUT_XX_DAY -- XX = 05, 16, 25, 50, 75, 84, 95. Fraction between 0-1, indicating percentage of measured and good quality gapfill data||
RECO_NT_VUT_REF||gC m-2 d-1||Ecosystem Respiration, from Nighttime partitioning method,most representative realization across up to 40 RECO_VUT versions, calculated from half-hourly data, using model efficiency approach (MEF).||(FC)(NEE)
RECO_NT_VUT_USTAR50||gC m-2 d-1||Ecosystem Respiration, from Nighttime partitioning method, based on NEE_VUT_USTAR50, calculated from half-hourly data||(FC)(NEE)
RECO_NT_VUT_MEAN||gC m-2 d-1||Ecosystem Respiration, from Nighttime partitioning method, average from up to 40 daily RECO_NT_VUT versions, each from corresponding NEE_VUT version||(FC)(NEE)
RECO_NT_VUT_SE||gC m-2 d-1||Standard Error for Ecosystem Respiration, calculated from up to 40 daily RECO_NT_VUT versions as (SD(RECO_NT_VUT) / SQRT(40))||(FC)(NEE)
RECO_NT_VUT_XX||gC m-2 d-1||XXth percentile from up to 40 daily Ecosystem Respiration versions, from Nighttime partitioning method (RECO_NT_VUT) with XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
RECO_NT_CUT_REF||gC m-2 d-1||Ecosystem Respiration, from Nighttime partitioning method,most representative realization across up to 40 RECO_CUT versions, calculated from half-hourly data, using model efficiency approach (MEF).||(FC)(NEE)
RECO_NT_CUT_USTAR50||gC m-2 d-1||Ecosystem Respiration, from Nighttime partitioning method, based on NEE_CUT_USTAR50, calculated from half-hourly data||(FC)(NEE)
RECO_NT_CUT_MEAN||gC m-2 d-1||Ecosystem Respiration, from Nighttime partitioning method, average from up to 40 daily RECO_NT_CUT versions, each from corresponding NEE_CUT version||(FC)(NEE)
RECO_NT_CUT_SE||gC m-2 d-1||Standard Error for Ecosystem Respiration, calculated from up to 40 daily RECO_NT_CUT versions as (SD(RECO_NT_CUT) / SQRT(40))||(FC)(NEE)
RECO_NT_CUT_XX||gC m-2 d-1||XXth percentile from up to 40 daily Ecosystem Respiration versions, from Nighttime partitioning method (RECO_NT_CUT) with XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
GPP_NT_VUT_REF||gC m-2 d-1||Gross Primary Production, from Nighttime partitioning method,most representative realization across up to 40 RECO_VUT versions, calculated from half-hourly data, using model efficiency approach (MEF).||(FC)(NEE)
GPP_NT_VUT_USTAR50||gC m-2 d-1||Gross Primary Production, from Nighttime partitioning method, based on NEE_VUT_USTAR50, calculated from half-hourly data||(FC)(NEE)
GPP_NT_VUT_MEAN||gC m-2 d-1||Gross Primary Production, from Nighttime partitioning method, average from up to 40 daily GPP_NT_VUT versions, each from corresponding NEE_VUT version||(FC)(NEE)
GPP_NT_VUT_SE||gC m-2 d-1||Standard Error for Gross Primary Production, calculated from up to 40 daily GPP_NT_VUT versions as (SD(GPP_NT_VUT) / SQRT(40))||(FC)(NEE)
GPP_NT_VUT_XX||gC m-2 d-1||XXth percentile from up to 40 daily Gross Primary Production versions, from Nighttime partitioning method (GPP_NT_VUT) with XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
GPP_NT_CUT_REF||gC m-2 d-1||Gross Primary Production, from Nighttime partitioning method,most representative realization across up to 40 RECO_CUT versions, calculated from half-hourly data, using model efficiency approach (MEF).||(FC)(NEE)
GPP_NT_CUT_USTAR50||gC m-2 d-1||Gross Primary Production, from Nighttime partitioning method, based on NEE_CUT_USTAR50, calculated from half-hourly data||(FC)(NEE)
GPP_NT_CUT_MEAN||gC m-2 d-1||Gross Primary Production, from Nighttime partitioning method, average from up to 40 daily GPP_NT_CUT versions, each from corresponding NEE_CUT version||(FC)(NEE)
GPP_NT_CUT_SE||gC m-2 d-1||Standard Error for Gross Primary Production, calculated from up to 40 daily GPP_NT_CUT versions as (SD(GPP_NT_CUT) / SQRT(40))||(FC)(NEE)
GPP_NT_CUT_XX||gC m-2 d-1||XXth percentile from up to 40 daily Gross Primary Production versions, from Nighttime partitioning method (GPP_NT_CUT) with XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
RECO_DT_VUT_REF||gC m-2 d-1||Ecosystem Respiration, from Daytime partitioning method,most representative realization across up to 40 RECO_VUT versions, calculated from half-hourly data, using model efficiency approach (MEF).||(FC)(NEE)
RECO_DT_VUT_USTAR50||gC m-2 d-1||Ecosystem Respiration, from Daytime partitioning method, based on NEE_VUT_USTAR50, calculated from half-hourly data||(FC)(NEE)
RECO_DT_VUT_MEAN||gC m-2 d-1||Ecosystem Respiration, from Daytime partitioning method, average from up to 40 daily RECO_DT_VUT versions, each from corresponding NEE_VUT version||(FC)(NEE)
RECO_DT_VUT_SE||gC m-2 d-1||Standard Error for Ecosystem Respiration, calculated from up to 40 daily RECO_DT_VUT versions as (SD(RECO_DT_VUT) / SQRT(40))||(FC)(NEE)
RECO_DT_VUT_XX||gC m-2 d-1||XXth percentile from up to 40 daily Ecosystem Respiration versions, from Daytime partitioning method (RECO_DT_VUT) with XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
RECO_DT_CUT_REF||gC m-2 d-1||Ecosystem Respiration, from Daytime partitioning method,most representative realization across up to 40 RECO_CUT versions, calculated from half-hourly data, using model efficiency approach (MEF).||(FC)(NEE)
RECO_DT_CUT_USTAR50||gC m-2 d-1||Ecosystem Respiration, from Daytime partitioning method, based on NEE_CUT_USTAR50, calculated from half-hourly data||(FC)(NEE)
RECO_DT_CUT_MEAN||gC m-2 d-1||Ecosystem Respiration, from Daytime partitioning method, average from up to 40 daily RECO_DT_CUT versions, each from corresponding NEE_CUT version||(FC)(NEE)
RECO_DT_CUT_SE||gC m-2 d-1||Standard Error for Ecosystem Respiration, calculated from up to 40 daily RECO_DT_CUT versions as (SD(RECO_DT_CUT) / SQRT(40))||(FC)(NEE)
RECO_DT_CUT_XX||gC m-2 d-1||XXth percentile from up to 40 daily Ecosystem Respiration versions, from Daytime partitioning method (RECO_DT_CUT) with XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
GPP_DT_VUT_REF||gC m-2 d-1||Gross Primary Production, from Daytime partitioning method,most representative realization across up to 40 RECO_VUT versions, calculated from half-hourly data, using model efficiency approach (MEF).||(FC)(NEE)
GPP_DT_VUT_USTAR50||gC m-2 d-1||Gross Primary Production, from Daytime partitioning method, based on NEE_VUT_USTAR50, calculated from half-hourly data||(FC)(NEE)
GPP_DT_VUT_MEAN||gC m-2 d-1||Gross Primary Production, from Daytime partitioning method, average from up to 40 daily GPP_DT_VUT versions, each from corresponding NEE_VUT version||(FC)(NEE)
GPP_DT_VUT_SE||gC m-2 d-1||Standard Error for Gross Primary Production, calculated from up to 40 daily GPP_DT_VUT versions as (SD(GPP_DT_VUT) / SQRT(40))||(FC)(NEE)
GPP_DT_VUT_XX||gC m-2 d-1||XXth percentile from up to 40 daily Gross Primary Production versions, from Daytime partitioning method (GPP_DT_VUT) with XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
GPP_DT_CUT_REF||gC m-2 d-1||Gross Primary Production, from Daytime partitioning method,most representative realization across up to 40 RECO_CUT versions, calculated from half-hourly data, using model efficiency approach (MEF).||(FC)(NEE)
GPP_DT_CUT_USTAR50||gC m-2 d-1||Gross Primary Production, from Daytime partitioning method, based on NEE_CUT_USTAR50, calculated from half-hourly data||(FC)(NEE)
GPP_DT_CUT_MEAN||gC m-2 d-1||Gross Primary Production, from Daytime partitioning method, average from up to 40 daily GPP_DT_CUT versions, each from corresponding NEE_CUT version||(FC)(NEE)
GPP_DT_CUT_SE||gC m-2 d-1||Standard Error for Gross Primary Production, calculated from up to 40 daily GPP_DT_CUT versions as (SD(GPP_DT_CUT) / SQRT(40))||(FC)(NEE)
GPP_DT_CUT_XX||gC m-2 d-1||XXth percentile from up to 40 daily Gross Primary Production versions, from Daytime partitioning method (GPP_DT_CUT) with XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
